Ticker,Sector,Industry
AMARAJABAT,XC - CODI,XC - ANC
AMTEKAUTO,XC - CODI,XC - ANC
AMTEKINDIA,XC - CODI,XC - ANC
APOLLOTYRE,XC - CODI,XC - ANC
ASAHIINDIA,XC - CODI,XC - ANC
ASAL,XC - CODI,XC - ANC
ASLIND,XC - CODI,XC - ANC
AUTOAXLES,XC - CODI,XC - ANC
AUTOIND,XC - CODI,XC - ANC
AUTOLITIND,XC - CODI,XC - ANC
BALKRISIND,XC - CODI,XC - ANC
BHARATFORG,XC - CODI,XC - ANC
BHARATGEAR,XC - CODI,XC - ANC
BIRLATYRE,XC - CODI,XC - ANC
BOSCHLTD,XC - CODI,XC - ANC
CASTEXTECH,XC - CODI,XC - ANC
CEATLTD,XC - CODI,XC - ANC
CRAFTSMAN,XC - CODI,XC - ANC
DELTAMAGNT,XC - CODI,XC - ANC
DYNAMATECH,XC - CODI,XC - ANC
ELGIRUBCO,XC - CODI,XC - ANC
ENDURANCE,XC - CODI,XC - ANC
EXIDEIND,XC - CODI,XC - ANC
FAGBEARING,XC - CODI,XC - ANC
FIEMIND,XC - CODI,XC - ANC
FMGOETZE,XC - CODI,XC - ANC
GABRIEL,XC - CODI,XC - ANC
GANGAFORGE,XC - CODI,XC - ANC
GNA,XC - CODI,XC - ANC
GOODYEAR,XC - CODI,XC - ANC
HINDCOMPOS,XC - CODI,XC - ANC
HITECHGEAR,XC - CODI,XC - ANC
IGARASHI,XC - CODI,XC - ANC
INDNIPPON,XC - CODI,XC - ANC
INNOVATIVE,XC - CODI,XC - ANC
JAMNAAUTO,XC - CODI,XC - ANC
JAYBARMARU,XC - CODI,XC - ANC
JKTYRE,XC - CODI,XC - ANC
JMA,XC - CODI,XC - ANC
JMTAUTOLTD,XC - CODI,XC - ANC
JTEKTINDIA,XC - CODI,XC - ANC
KALYANI,XC - CODI,XC - ANC
KESORAMIND,XC - CODI,XC - ANC
LAKPRE,XC - CODI,XC - ANC
LGBBROSLTD,XC - CODI,XC - ANC
LUMAXIND,XC - CODI,XC - ANC
LUMAXTECH,XC - CODI,XC - ANC
MENONBE,XC - CODI,XC - ANC
MINDACORP,XC - CODI,XC - ANC
UNOMINDA,XC - CODI,XC - ANC
MODIRUBBER,XC - CODI,XC - ANC
MOTHERSON,XC - CODI,XC - ANC
MOTHERSUMI,XC - CODI,XC - ANC
MRF,XC - CODI,XC - ANC
MSUMI,XC - CODI,XC - ANC
MUNJALAU,XC - CODI,XC - ANC
MUNJALSHOW,XC - CODI,XC - ANC
NDRAUTO,XC - CODI,XC - ANC
NIBL,XC - CODI,XC - ANC
NIPPOBATRY,XC - CODI,XC - ANC
OMAXAUTO,XC - CODI,XC - ANC
PAEL,XC - CODI,XC - ANC
PAVNAIND,XC - CODI,XC - ANC
PPAP,XC - CODI,XC - ANC
PRECAM,XC - CODI,XC - ANC
PRECISION,XC - CODI,XC - ANC
PRICOLLTD,XC - CODI,XC - ANC
PRITIKAUTO,XC - CODI,XC - ANC
