,Word,Seq_num,Word Count,Word Proportion,Average Proportion,Std Dev,Doc Count,Negative,Positive,Uncertainty,Litigious,Strong_Modal,Weak_Modal,Constraining,Syllables,Source
9,ABANDON,10,127090,5.564962696337698e-06,4.698651522249059e-06,3.314939636776057e-05,66312,2009,0,0,0,0,0,0,3,12of12inf
10,ABANDONED,11,234345,1.026139887538955e-05,1.0753076764925532e-05,7.680066712540895e-05,107787,2009,0,0,0,0,0,0,3,12of12inf
11,ABANDONING,12,20962,9.178751124449668e-07,8.418647197212048e-07,1.196763332770896e-05,13112,2009,0,0,0,0,0,0,4,12of12inf
12,ABANDONMENT,13,285978,1.2522282649880102e-05,1.2402669171638634e-05,8.161960244928147e-05,94669,2009,0,0,0,0,0,0,4,12of12inf
13,ABANDONMENTS,14,15433,6.757736194238704e-07,9.313293108025532e-07,2.2627282839742477e-05,6517,2009,0,0,0,0,0,0,4,12of12inf
14,ABANDONS,15,7616,3.334861585908247e-07,1.7024724165002105e-07,3.6462859318612686e-06,5457,2009,0,0,0,0,0,0,3,12of12inf
51,ABDICATED,52,141,6.1740478415580725e-09,3.9106488714050875e-09,5.388564767745614e-07,88,2009,0,0,0,0,0,0,4,12of12inf
52,ABDICATES,53,1,4.378757334438349e-11,1.3257419041926568e-11,1.415806078518955e-08,1,2009,0,0,0,0,0,0,3,12of12inf
53,ABDICATING,54,47,2.058015947186024e-09,1.199542671100129e-09,2.499986474503556e-07,35,2009,0,0,0,0,0,0,4,12of12inf
54,ABDICATION,55,760,3.3278555741731456e-08,2.1915365893542943e-08,1.4638130623960027e-06,605,2009,0,0,0,0,0,0,4,12of12inf
55,ABDICATIONS,56,0,0.0,0.0,0.0,0,2009,0,0,0,0,0,0,4,12of12inf
70,ABERRANT,71,1659,7.264358417833221e-08,3.680280974688988e-08,1.7091691802224913e-06,1188,2009,0,0,0,0,0,0,3,12of12inf
71,ABERRATION,72,1047,4.584558929156952e-08,4.487554708268913e-08,3.682331667899435e-06,719,2009,0,0,0,0,0,0,4,12of12inf
72,ABERRATIONAL,73,99,4.334969761093966e-09,3.0455800097091753e-09,5.350002997443261e-07,65,2009,0,0,0,0,0,0,5,12of12inf
73,ABERRATIONS,74,1825,7.991232135349986e-08,7.21362800862106e-08,3.245767776177583e-06,1290,2009,0,0,0,0,0,0,4,12of12inf
79,ABETTING,80,21105,9.241367354332135e-07,8.313766349130641e-07,1.630872019515532e-05,9692,2009,0,0,0,0,0,0,3,12of12inf
138,ABNORMAL,139,69990,3.0646922583734006e-06,2.9704031307896474e-06,2.613882043933261e-05,36979,2009,0,0,0,0,0,0,3,12of12inf
139,ABNORMALITIES,140,9287,4.066551936492895e-07,2.806297051432016e-07,6.8773330841846375e-06,5155,2009,0,0,0,0,0,0,5,12of12inf
140,ABNORMALITY,141,2176,9.528175959737849e-08,7.885384729003103e-08,3.511886458380861e-06,1479,2009,0,0,0,0,0,0,5,12of12inf
141,ABNORMALLY,142,13372,5.855274307610961e-07,5.727175348276003e-07,1.0554169779172869e-05,9932,2009,0,0,0,0,0,0,4,12of12inf
145,ABOLISH,146,11111,4.86523727429445e-07,2.967804404463383e-07,5.006036216168739e-06,9004,2009,0,0,0,0,0,0,3,12of12inf
146,ABOLISHED,147,3136,1.3731783000798665e-07,1.007830514906004e-07,3.152613987140707e-06,2478,2009,0,0,0,0,0,0,3,12of12inf
147,ABOLISHES,148,287,1.2567033549838062e-08,1.1901283105525192e-08,1.5699965892685948e-06,250,2009,0,0,0,0,0,0,4,12of12inf
148,ABOLISHING,149,636,2.78488966470279e-08,2.5928165482415355e-08,1.6491886953185352e-06,543,2009,0,0,0,0,0,0,4,12of12inf
213,ABROGATE,214,6269,2.745042972959401e-07,1.3986045231579316e-07,4.007570249035988e-06,3877,2009,0,0,2009,0,0,0,3,12of12inf
214,ABROGATED,215,2023,8.85822608756878e-08,5.432195053913537e-08,2.754433629493164e-06,1387,2009,0,0,2009,0,0,0,4,12of12inf
215,ABROGATES,216,387,1.694579088427641e-08,1.0607481045671262e-08,1.1933600553796195e-06,250,2009,0,0,2009,0,0,0,3,12of12inf
