,Word,Seq_num,Word Count,Word Proportion,Average Proportion,Std Dev,Doc Count,Negative,Positive,Uncertainty,Litigious,Strong_Modal,Weak_Modal,Constraining,Syllables,Source
125,ABLE,126,4888882,0.000214072279147,0.0002084159241991,0.000300644226261,725330,0,2009,0,0,0,0,0,2,12of12inf
336,ABUNDANCE,337,8438,3.694795438799079e-07,3.733143225307346e-07,8.763392438651458e-06,6688,0,2009,0,0,0,0,0,3,12of12inf
338,ABUNDANT,339,12804,5.606560891014862e-07,5.145855113854633e-07,9.323248565438184e-06,9354,0,2009,0,0,0,0,0,3,12of12inf
438,ACCLAIMED,439,2296,1.005362683987045e-07,9.100193916087433e-08,3.3781600368825613e-06,1703,0,2009,0,0,0,0,0,2,12of12inf
477,ACCOMPLISH,478,191204,8.372359173739501e-06,8.782697413232984e-06,4.310887310670999e-05,128370,0,2009,0,0,0,0,0,3,12of12inf
478,ACCOMPLISHED,479,160954,7.0477850800719e-06,8.041941964452492e-06,4.150211413760238e-05,111361,0,2009,0,0,0,0,0,3,12of12inf
479,ACCOMPLISHES,480,5409,2.368469842197703e-07,3.086938262549314e-07,9.965089243472387e-06,4743,0,2009,0,0,0,0,0,4,12of12inf
480,ACCOMPLISHING,481,28043,1.2279349192965463e-06,2.0152624102432456e-06,2.0349885553783855e-05,23945,0,2009,0,0,0,0,0,4,12of12inf
481,ACCOMPLISHMENT,482,20232,8.859101839035667e-07,6.400171993627188e-07,1.1038904953433988e-05,14104,0,2009,0,0,0,0,0,4,12of12inf
482,ACCOMPLISHMENTS,483,20317,8.896321276378394e-07,6.980262309671797e-07,9.934814819496418e-06,14805,0,2009,0,0,0,0,0,4,12of12inf
620,ACHIEVE,621,1838380,8.049819908484772e-05,7.6453585419729e-05,0.0001420965687777,516777,0,2009,0,0,0,0,0,2,12of12inf
622,ACHIEVED,623,1039780,4.5529443012023066e-05,4.713663820219534e-05,0.0001078928834318,417912,0,2009,0,0,0,0,0,2,12of12inf
