,Ticker,Sector,Industry,Market Cap,Company Name
0,ABB,Industrials,Electrical Equipment,898.43,ABB India Limited
1,3MINDIA,Diversified,Diversified,303.9,3M India Limited
2,360ONE,Financial Services,Finance,160.87,360 ONE WAM LIMITED
3,ACC,Commodities,Cement & Cement Products,331.8,ACC Limited
4,AIAENG,Industrials,Industrial Products,312.35,AIA Engineering Limited
5,AUBANK,Financial Services,Banks,491.33,AU Small Finance Bank Limited
6,APLAPOLLO,Industrials,Industrial Products,370.85,APL Apollo Tubes Limited
7,AARTIDRUGS,Healthcare,Pharmaceuticals & Biotechnology,41.13,Aarti Drugs Limited
8,AARTIIND,Commodities,Chemicals & Petrochemicals,182.27,Aarti Industries Limited
9,AAVAS,Financial Services,Finance,110.25,Aavas Financiers Limited
10,ABBOTINDIA,Healthcare,Pharmaceuticals & Biotechnology,309.87,Abbott India Limited
11,ADANIENT,Commodities,Metals & Minerals Trading,2546.25,Adani Enterprises Limited
12,ADANIGREEN,Utilities,Power,1520.43,Adani Green Energy Limited
13,ATGL,Energy,Gas,697.61,Adani Total Gas Limited
14,ADANIPOWER,Utilities,Power,934.92,Adani Power Limited
15,ADANIPORTS,Services,Transport Infrastructure,1542.99,Adani Ports and Special Economic Zone Limited
16,ADANITRANS,Utilities,Power,844.99,Adani Transmission Limited
17,AWL,Fast Moving Consumer Goods,Agricultural Food & other Products,525.07,Adani Wilmar Limited
18,ABFRL,Consumer Discretionary,Retailing,193.51,Aditya Birla Fashion and Retail Limited
19,ABCAPITAL,Financial Services,Finance,423.32,Aditya Birla Capital Limited
20,AEGISCHEM,Energy,Gas,111.42,Aegis Logistics Limited
21,AFFLE,Information Technology,IT - Services,144.43,Affle (India) Limited
22,AETHER,Commodities,Chemicals & Petrochemicals,140.54,Aether Industries Limited
23,AJANTPHARM,Healthcare,Pharmaceuticals & Biotechnology,184.2,Ajanta Pharma Limited
24,APLLTD,Healthcare,Pharmaceuticals & Biotechnology,118.77,Alembic Pharmaceuticals Limited
25,ALKEM,Healthcare,Pharmaceuticals & Biotechnology,400.54,Alkem Laboratories Limited
26,ALKYLAMINE,Commodities,Chemicals & Petrochemicals,133.21,Alkyl Amines Chemicals Limited
27,AMARAJABAT,Consumer Discretionary,Auto Components,108.47,Amara Raja Batteries Limited
28,AMBER,Consumer Discretionary,Consumer Durables,76.07,Amber Enterprises India Limited
29,AMBUJACEM,Commodities,Cement & Cement Products,845.49,Ambuja Cements Limited
30,ANGELONE,Financial Services,Capital Markets,135.98,Angel One Limited
31,APARINDS,Industrials,Electrical Equipment,122.08,Apar Industries Limited
32,ANURAS,Commodities,Chemicals & Petrochemicals,111.58,Anupam Rasayan India Limited
33,APOLLOHOSP,Healthcare,Healthcare Services,725.46,Apollo Hospitals Enterprise Limited
34,APOLLOTYRE,Consumer Discretionary,Auto Components,264.14,Apollo Tyres Limited
35,APTUS,Financial Services,Finance,121.83,Aptus Value Housing Finance India Limited
36,ASAHIINDIA,Consumer Discretionary,Auto Components,119.41,Asahi India Glass Limited
