TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-02-24,2025-02-24,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,8598.24,8598.24,8560.11,8582.00,8582.00,8598.24,,8583.13,,,237,2034321.27,40,F1,1,,,,,
2025-02-24,2025-02-24,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,8550.00,8649.99,8550.00,8598.82,8600.29,8591.27,,8598.82,,,436,3749902.20,56,F1,1,,,,,
2025-02-24,2025-02-24,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,8630.00,8640.00,8534.00,8617.79,8620.00,8620.55,,8617.79,,,1007,8676276.26,73,F1,1,,,,,
2025-02-24,2025-02-24,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,8600.00,8650.00,8565.00,8597.46,8600.00,8600.01,,8597.46,,,167,1435169.29,23,F1,1,,,,,
2025-02-24,2025-02-24,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,8575.00,8645.00,8460.00,8611.65,8610.00,8560.00,,8611.65,,,155,1332583.70,45,F1,1,,,,,
2025-02-24,2025-02-24,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,8680.00,8680.00,8570.00,8614.96,8624.99,8608.85,,8614.96,,,625,5386626.08,73,F1,1,,,,,
2025-02-24,2025-02-24,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,8600.00,8610.00,8565.00,8609.99,8610.00,8600.32,,8609.41,,,831,7146456.88,86,F1,1,,,,,
2025-02-24,2025-02-24,CM,NSE,STK,250,IN0020170059,SGBOCT25,GB,,,,,2.50% GOLDBONDS2025SR-III,8700.00,8700.00,8700.00,8700.00,8700.00,8700.00,,8700.00,,,11,95700.00,2,F1,1,,,,,
2025-02-24,2025-02-24,CM,NSE,STK,304,IN0020170067,SGBOCT25IV,GB,,,,,2.50% GOLDBONDS2025SR-IV,8599.99,8599.99,8599.99,8599.99,8599.99,8440.00,,8599.99,,,13,111799.87,9,F1,1,,,,,
2025-02-24,2025-02-24,CM,NSE,STK,398,IN0020170083,SGBNOV25VI,GB,,,,,2.50% GOLDBONDS2025SR-VI,8598.00,8614.90,8598.00,8614.90,8614.90,8598.00,,8614.90,,,6,51672.50,2,F1,1,,,,,
2025-02-24,2025-02-24,CM,NSE,STK,623,IN0020170125,SGBDEC25,GB,,,,,2.50%GOLDBONDS 2025 SR-X,8425.11,8425.11,8425.11,8425.11,8425.11,8450.00,,8512.56,,,2,16850.22,2,F1,1,,,,,
2025-02-24,2025-02-24,CM,NSE,STK,729,IN0020170133,SGBDEC25XI,GB,,,,,2.50%GOLDBONDS 2025 SR-XI,8666.00,8666.00,8666.00,8666.00,8666.00,8666.00,,8666.00,,,3,25998.00,3,F1,1,,,,,
2025-02-24,2025-02-24,CM,NSE,STK,540,IN0020170117,SGBNOV25IX,GB,,,,,2.50%GOLDBONDS 2025SR-IX,8510.00,8510.00,8510.00,8510.00,8510.00,8510.00,,8510.00,,,1,8510.00,1,F1,1,,,,,
2025-02-24,2025-02-24,CM,NSE,STK,20467,IN0020160126,SGBMAR25,GB,,,,,2.50%GOLDBONDS 2025TR-VII,8610.00,8650.00,8550.00,8645.79,8650.00,8574.16,,8645.79,,,132,1138290.42,18,F1,1,,,,,
2025-02-24,2025-02-24,CM,NSE,STK,795,IN0020170141,SGBDEC2512,GB,,,,,2.50%GOLDBONDS2025 SR-XII,8669.00,8669.00,8669.00,8669.00,8669.00,8599.00,,8669.00,,,5,43345.00,4,F1,1,,,,,
2025-02-24,2025-02-24,CM,NSE,STK,862,IN0020170158,SGBDEC2513,GB,,,,,2.50%GOLDBONDS2025SR-XIII,8598.00,8649.00,8440.01,8625.00,8625.00,8598.00,,8625.00,,,7,59841.03,5,F1,1,,,,,
2025-02-24,2025-02-24,CM,NSE,STK,2891,IN0020180033,SGBMAY26,GB,,,,,2.50%GOLDBONDS2026SR-I,8560.00,8650.00,8560.00,8650.00,8650.00,8560.00,,8650.00,,,73,627985.00,9,F1,1,,,,,
2025-02-24,2025-02-24,CM,NSE,STK,5960,IN0020180249,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,8650.00,8690.00,8650.00,8690.00,8690.00,8650.00,,8690.00,,,27,234510.00,6,F1,1,,,,,
2025-02-24,2025-02-24,CM,NSE,STK,10261,IN0020190073,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,8530.00,8600.00,8530.00,8600.00,8600.00,8506.50,,8600.00,,,24,205000.00,6,F1,1,,,,,
2025-02-24,2025-02-24,CM,NSE,STK,11154,IN0020190081,SGBJUL27,GB,,,,,2.50%GOLDBONDS2027SR-II,8575.00,8618.88,8575.00,8618.88,8618.88,8471.02,,8618.88,,,14,120571.50,4,F1,1,,,,,
2025-02-24,2025-02-24,CM,NSE,STK,12904,IN0020190107,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,9102.32,9147.83,9000.00,9103.56,9147.83,9057.04,,9103.56,,,56,508356.92,11,F1,1,,,,,
2025-02-24,2025-02-24,CM,NSE,STK,8308,IN0020180462,SGBJAN27,GB,,,,,2.50%GOLDBONDS2027SR-V,8749.00,8749.00,8600.00,8600.00,8600.00,8598.00,,8600.00,,,17,148579.91,8,F1,1,,,,,
