Symbol,Series,Security Name,Band,Remarks
21STCENMGM,BE,21ST CENTURY MANAGEMENT SERVICES LIMITED,2,"-"
AKI,BE,AKI INDIA LIMITED,2,"-"
ASIANHOTNR,BE,ASIAN HOTELS (NORTH) LIMITED,2,"-"
ATLASCYCLE,BE,ATLAS CYCLES (HARYANA) LIMITED,2,"-"
BASILIC,ST,BASILIC FLY STUDIO LIMITED,2,"-"
BLUECHIP,BE,BLUE CHIP INDIA LIMITED,2,"GSM STAGE - 0"
BLUECOAST,BE,BLUE COAST HOTELS LIMITED,2,"-"
COMMITTED,ST,COMMITTED CARGO CARE LIMITED,2,"-"
CONTI,ST,CONTINENTAL SEEDS AND CHEMICALS LIMITED,2,"-"
COOLCAPS,ST,COOL CAPS INDUSTRIES LIMITED,2,"-"
DELPHIFX,BE,DELPHI WORLD MONEY LIMITED,2,"-"
DMCC,BE,DMCC SPECIALITY CHEMICALS LIMITED,2,"-"
EMKAY,BE,EMKAY GLOBAL FINANCIAL SERVICES LIMITED,2,"-"
FEL,BZ,FUTURE ENTERPRISES LIMITED,2,"GSM STAGE - 0"
FILATFASH,BE,FILATEX FASHIONS LIMITED,2,"-"
FMNL,BE,FUTURE MARKET NETWORKS LIMITED,2,"-"
GODHA,BE,GODHA CABCON & INSULATION LIMITED,2,"-"
GSMFOILS,ST,GSM FOILS LIMITED,2,"-"
GSTL,ST,GLOBESECURE TECHNOLOGIES LIMITED,2,"-"
GTECJAINX,BE,G-TEC JAINX EDUCATION LIMITED,2,"GSM STAGE - 0"
GVKPIL,BE,GVK POWER & INFRASTRUCTURE LIMITED,2,"-"
HOLMARC,ST,HOLMARC OPTO-MECHATRONICS LIMITED,2,"-"
INDIANCARD,BE,INDIAN CARD CLOTHING COMPANY LIMITED,2,"-"
JALAN,ST,JALAN TRANSOLUTIONS (INDIA) LIMITED,2,"-"
JFLLIFE,ST,JFL LIFE SCIENCES LIMITED,2,"-"
JIWANRAM,ST,JIWANRAM SHEODUTTRAI INDUSTRIES LIMITED,2,"-"
K2INFRA,ST,K2 INFRAGEN LIMITED,2,"-"
KAVVERITEL,BE,KAVVERI TELECOM PRODUCTS LIMITED,2,"-"
KBCGLOBAL,BE,KBC GLOBAL LIMITED,2,"-"
KDL,ST,KORE DIGITAL LIMITED,2,"-"
MAHASTEEL,BE,MAHAMAYA STEEL INDUSTRIES LIMITED,2,"-"
MARSHALL,BE,MARSHALL MACHINES LIMITED,2,"-"
MOS,ST,MOS UTILITY LIMITED,2,"-"
NIBL,BE,NRB INDUSTRIAL BEARINGS LIMITED,2,"-"
NITCO,BE,NITCO LIMITED,2,"-"
NOIDATOLL,BE,NOIDA TOLL BRIDGE COMPANY LIMITED,2,"-"
NORBTEAEXP,BE,NORBEN TEA & EXPORTS LIMITED,2,"-"
ODIGMA,BE,ODIGMA CONSULTANCY SOLUTIONS LIMITED,2,"-"
ORBTEXP,BE,ORBIT EXPORTS LIMITED,2,"-"
OSELDEVICE,ST,OSEL DEVICES LIMITED,2,"-"
PALREDTEC,BE,PALRED TECHNOLOGIES LIMITED,2,"-"
PARSVNATH,BE,PARSVNATH DEVELOPERS LIMITED,2,"-"
PRATHAM,ST,PRATHAM EPC PROJECTS LIMITED,2,"-"
PROZONER,BE,PROZONE REALTY LIMITED,2,"-"
QUESTLAB,ST,QUEST LABORATORIES LIMITED,2,"-"
RADAAN,BE,RADAAN MEDIAWORKS INDIA LIMITED,2,"-"
RAJRILTD,BE,RAJ RAYON INDUSTRIES LIMITED,2,"-"
REFRACTORY,ST,REFRACTORY SHAPES LIMITED,2,"-"
RHFL,BE,RELIANCE HOME FINANCE LIMITED,2,"GSM STAGE - 0"
RNFI,ST,RNFI SERVICES LIMITED,2,"-"
SABEVENTS,BE,SAB EVENTS & GOVERNANCE NOW MEDIA LIMITED,2,"-"
SABTNL,BE,SRI ADHIKARI BROTHERS TELEVISION NETWORK LIMITED,2,"-"
SANWARIA,BZ,SANWARIA CONSUMER LIMITED,2,"-"
SITINET,BZ,SITI NETWORKS LIMITED,2,"-"
SPCENET,BE,SPACENET ENTERPRISES INDIA LIMITED,2,"-"
SRPL,BZ,SHREE RAM PROTEINS LIMITED,2,"-"
SUPREMEINF,BZ,SUPREME INFRASTRUCTURE INDIA LIMITED,2,"-"
SVPGLOB,BE,SVP GLOBAL TEXTILES LIMITED,2,"-"
TARAPUR,BE,TARAPUR TRANSFORMERS LIMITED,2,"-"
TECHERA,ST,TECHERA ENGINEERING (INDIA) LIMITED,2,"-"
TEMBO,BE,TEMBO GLOBAL INDUSTRIES LIMITED,2,"-"
THOMASCOTT,BE,THOMAS SCOTT (INDIA) LIMITED,2,"-"
TVVISION,BE,TV VISION LIMITED,2,"GSM STAGE - 0"
URJA,BE,URJA GLOBAL LIMITED,2,"-"
VIJIFIN,BE,VIJI FINANCE LIMITED,2,"-"
WINSOME,BZ,WINSOME YARNS LIMITED,2,"-"
WTICAB,ST,WISE TRAVEL INDIA LIMITED,2,"-"
3PLAND,BE,3P LAND HOLDINGS LIMITED,5,"-"
3RDROCK,IT,3RD ROCK MULTIMEDIA LIMITED,5,"-"
63MOONS,EQ,63 MOONS TECHNOLOGIES LIMITED,5,"-"
A2ZINFRA,BE,A2Z INFRA ENGINEERING LIMITED,5,"-"
AARTECH,BE,AARTECH SOLONICS LIMITED,5,"-"
AARVEEDEN,BE,AARVEE DENIMS & EXPORTS LIMITED,5,"-"
ABAN,BE,ABAN OFFSHORE LIMITED,5,"-"
ABCOTS,ST,A B COTSPIN INDIA LIMITED,5,"-"
ABHAPOWER,ST,ABHA POWER AND STEEL LIMITED,5,"-"
ABMINTLLTD,EQ,ABM INTERNATIONAL LIMITED,5,"-"
ABSMARINE,ST,ABS MARINE SERVICES LIMITED,5,"-"
ACCORD,SM,ACCORD SYNERGY LIMITED,5,"-"
ACMESOLAR,EQ,ACME SOLAR HOLDINGS LIMITED,5,"-"
AGARWALFT,ST,AGARWAL FLOAT GLASS INDIA LIMITED,5,"-"
AGNI,ST,AGNI GREEN POWER LIMITED,5,"-"
AGSTRA,BE,AGS TRANSACT TECHNOLOGIES LIMITED,5,"-"
AGUL,SM,A G UNIVERSAL LIMITED,5,"-"
AHIMSA,ST,AHIMSA INDUSTRIES LIMITED,5,"-"
AHL,BE,ABANS HOLDINGS LIMITED,5,"-"
AILIMITED,SM,ABHISHEK INTEGRATIONS LIMITED,5,"-"
AISL,SM,ANI INTEGRATED SERVICES LIMITED,5,"-"
AKANKSHA,SM,AKANKSHA POWER AND INFRASTRUCTURE LIMITED,5,"-"
AKSHAR,BE,AKSHAR SPINTEX LIMITED,5,"-"
AKSHOPTFBR,BE,AKSH OPTIFIBRE LIMITED,5,"-"
ALMONDZ,EQ,ALMONDZ GLOBAL SECURITIES LIMITED,5,"-"
ALPEXSOLAR,SM,ALPEX SOLAR LIMITED,5,"-"
ALPHAGEO,BE,ALPHAGEO (INDIA) LIMITED,5,"-"
ALPSINDUS,BE,ALPS INDUSTRIES LIMITED,5,"GSM STAGE - 0"
AMBANIORGO,ST,AMBANI ORGOCHEM LIMITED,5,"-"
AMEYA,SM,AMEYA PRECISION ENGINEERS LIMITED,5,"-"
AMJUMBO,SM,A AND M JUMBO BAGS LIMITED,5,"-"
ANKITMETAL,BZ,ANKIT METAL & POWER LIMITED,5,"-"
ANSALAPI,BZ,ANSAL PROPERTIES & INFRASTRUCTURE LIMITED,5,"-"
ANTGRAPHIC,EQ,ANTARCTICA LIMITED,5,"-"
APRAMEYA,ST,APRAMEYA ENGINEERING LIMITED,5,"-"
ARENTERP,BE,RAJDARSHAN INDUSTRIES LIMITED,5,"-"
ARIES,BE,ARIES AGRO LIMITED,5,"-"
ARROWGREEN,BE,ARROW GREENTECH LIMITED,5,"-"
