,Symbol,Negative,Neutral,Positive,Sentiment Score,MCap (Billion),Company Name,Sector,Industry
0,AARTIDRUGS,0.0,1.0,0.0,0.0,38.34,Aarti Drugs Limited,XC - HECA,XC - PHR
1,AAVAS,0.0,1.0,0.0,0.0,143.82,Aavas Financiers Limited,XC - FNCL,XC - NFC
2,ABB,0.0,1.0,0.0,0.0,624.08,ABB India Limited,XC - INDS,XC - CAG
3,ABCAPITAL,0.0,1.0,0.0,0.0,348.43,Aditya Birla Capital Limited,XC - FNCL,XC - NFC
4,ABFRL,0.115,0.885,0.0,-0.212,247.47,Aditya Birla Fashion and Retail Limited,XC - CODI,XC - RTL
5,ACC,0.0,0.85,0.15,0.232,438.61,ACC Limited,XC - MTRL,XC - CMT
6,ADANIENT,0.007,0.981,0.012,0.016,3923.88,Adani Enterprises Limited,XC - INDS,XC - CAG
7,ADANIGREEN,0.0,0.754,0.246,0.347,3036.27,Adani Green Energy Limited,XC - UTLT,XC - PGD
8,ADANIPORTS,0.0,0.923,0.077,0.134,1644.3,Adani Ports and Special Economic Zone Limited,XC - INDS,XC - SHP
9,ADANITRANS,0.0,1.0,0.0,0.0,3081.16,Adani Transmission Limited,XC - UTLT,XC - PTD
10,AEGISCHEM,0.165,0.73,0.105,-0.092,120.16,Aegis Logistics Limited,XC - INDS,XC - LGT
11,AETHER,0.0,0.97,0.03,0.049,112.86,Aether Industries Limited,XC - MTRL,XC - CHM
12,AFFLE,0.0,1.0,0.0,0.0,138.7,Affle (India) Limited,XC - INTH,XC - INT
13,AIAENG,0.0,1.0,0.0,0.0,231.99,AIA Engineering Limited,XC - INDS,XC - CAG
14,AJANTPHARM,0.0,1.0,0.0,0.0,153.72,Ajanta Pharma Limited,XC - HECA,XC - PHR
15,ALKEM,0.0,1.0,0.0,0.0,359.8,Alkem Laboratories Limited,XC - HECA,XC - PHR
16,ALOKINDS,0.0,0.886,0.114,0.127,69.27,Alok Industries Limited,XC - CODI,XC - TXT
17,AMARAJABAT,0.0,1.0,0.0,0.0,97.84,Amara Raja Batteries Limited,XC - CODI,XC - ANC
18,AMBER,0.0,1.0,0.0,0.0,68.84,Amber Enterprises India Limited,XC - CODI,XC - COD
19,AMBUJACEM,0.066,0.85,0.085,0.022,990.74,Ambuja Cements Limited,XC - MTRL,XC - CMT
20,ANGELONE,0.0,0.925,0.075,0.137,106.14,Angel One Limited,XC - FNCL,XC - NFC
21,ANURAS,0.0,1.0,0.0,0.0,66.69,Anupam Rasayan India Limited,XC - MTRL,XC - CHM
22,APLLTD,0.0,0.86,0.14,0.238,108.36,Alembic Pharmaceuticals Limited,XC - HECA,XC - PHR
23,APOLLOHOSP,0.2,0.609,0.191,-0.026,618.99,Apollo Hospitals Enterprise Limited,XC - HECA,XC - HCS
24,ASAHIINDIA,0.0,1.0,0.0,0.0,120.83,Asahi India Glass Limited,XC - CODI,XC - ANC
25,ASAHIINDIA,0.0,1.0,0.0,0.0,120.83,Asahi India Glass Limited,XC - CODI,XC - COD
26,ASHOKLEY,0.04,0.825,0.136,0.147,431.76,Ashok Leyland Limited,XC - CODI,XC - ATO
27,ASIANPAINT,0.0,0.938,0.062,0.115,2695.92,Asian Paints Limited,XC - COST,XC - HPP
28,ASTERDM,0.0,0.896,0.104,0.199,109.04,Aster DM Healthcare Limited,XC - HECA,XC - PHR
29,ASTRAL,0.0,0.732,0.268,0.296,404.32,Astral Limited,XC - INDS,XC - CAG
30,ATGL,0.0,1.0,0.0,0.0,4280.19,Adani Total Gas Limited,XC - ENRG,XC - ODE
31,ATUL,0.0,0.934,0.066,0.11,211.05,Atul Limited,XC - MTRL,XC - CHM
32,AUBANK,0.0,0.917,0.083,0.164,423.04,AU Small Finance Bank Limited,XC - FNCL,XC - PVT
